;date;France;Germany;Italy
0;2020-01-24;;;
1;2020-01-25;;;
2;2020-01-26;5.333333333333336;;
3;2020-01-27;;;
4;2020-01-27;;;
5;2020-01-28;;;
6;2020-01-28;;;
7;2020-01-29;;;
8;2020-01-29;;;
9;2020-01-30;;;
10;2020-01-30;;;
11;2020-01-31;;;
12;2020-01-31;;;
13;2020-01-31;;;
14;2020-02-01;;;
15;2020-02-01;;;
16;2020-02-01;;;
17;2020-02-02;;;
18;2020-02-02;;;
19;2020-02-02;;;
20;2020-02-03;;;
21;2020-02-03;;;
22;2020-02-03;;;
23;2020-02-04;;;
24;2020-02-04;;;
25;2020-02-04;;;
26;2020-02-05;;;
27;2020-02-05;;;
28;2020-02-05;;;
29;2020-02-06;;;
30;2020-02-06;;;
31;2020-02-06;;;
32;2020-02-07;;;
33;2020-02-07;;;
34;2020-02-07;;;
35;2020-02-08;;;
36;2020-02-08;;;
37;2020-02-08;;;
38;2020-02-09;;;
39;2020-02-09;;;
40;2020-02-09;;;
41;2020-02-10;;;
42;2020-02-10;;;
43;2020-02-10;;;
44;2020-02-11;;;
45;2020-02-11;;;
46;2020-02-11;;;
47;2020-02-12;;;
48;2020-02-12;;;
49;2020-02-12;;;
50;2020-02-13;;;
51;2020-02-13;;;
52;2020-02-13;;;
53;2020-02-14;;;
54;2020-02-14;;;
55;2020-02-14;;;
56;2020-02-15;;;
57;2020-02-15;;;
58;2020-02-15;;;
59;2020-02-16;;;
60;2020-02-16;;;
61;2020-02-16;;;
62;2020-02-17;;;
63;2020-02-17;;;
64;2020-02-17;;;
65;2020-02-18;;;
66;2020-02-18;;;
67;2020-02-18;;;
68;2020-02-19;;;
69;2020-02-19;;;
70;2020-02-19;;;
71;2020-02-20;;;
72;2020-02-20;;;
73;2020-02-20;;;
74;2020-02-21;;;
75;2020-02-21;;;
76;2020-02-21;;;
77;2020-02-22;;;
78;2020-02-22;;;
79;2020-02-22;;;
80;2020-02-23;;;
81;2020-02-23;;;
82;2020-02-23;;;
83;2020-02-24;;;
84;2020-02-24;;;
85;2020-02-24;;;
86;2020-02-25;;;
87;2020-02-25;;;
88;2020-02-25;;;
89;2020-02-26;;;
90;2020-02-26;;;
91;2020-02-26;;;
92;2020-02-27;;;
93;2020-02-27;;;
94;2020-02-27;;;
95;2020-02-28;;;
96;2020-02-28;;;
97;2020-02-28;;;
98;2020-02-29;;;
99;2020-02-29;;;
100;2020-02-29;;;
101;2020-03-01;;;
102;2020-03-01;;;
103;2020-03-01;;;
104;2020-03-02;;;
105;2020-03-02;;;
106;2020-03-02;;;
107;2020-03-03;;;
108;2020-03-03;;;
109;2020-03-03;;;
110;2020-03-04;;;
111;2020-03-04;;;
112;2020-03-04;;;
113;2020-03-05;;;
114;2020-03-05;;;
115;2020-03-05;;;
116;2020-03-06;;;
117;2020-03-06;;;
118;2020-03-06;;;
119;2020-03-07;;;
120;2020-03-07;;;
121;2020-03-07;;;
122;2020-03-08;;;
123;2020-03-08;;;
124;2020-03-08;;;
125;2020-03-09;;;
126;2020-03-09;;;
127;2020-03-09;;;
128;2020-03-10;;;
129;2020-03-10;;;
130;2020-03-10;;;
131;2020-03-11;;;
132;2020-03-11;;;
133;2020-03-11;;;
134;2020-03-12;;;
135;2020-03-12;;;
136;2020-03-12;;;
137;2020-03-13;;;
138;2020-03-13;;;
139;2020-03-13;;;
140;2020-03-14;;;
141;2020-03-14;;;
142;2020-03-14;;;
143;2020-03-15;;;
144;2020-03-15;;;
145;2020-03-15;;;
146;2020-03-16;;;
147;2020-03-16;;;
148;2020-03-16;;;
149;2020-03-17;;;
150;2020-03-17;;;
151;2020-03-17;;;
152;2020-03-18;;;
153;2020-03-18;;;
154;2020-03-18;;;
155;2020-03-19;;;
156;2020-03-19;;;
157;2020-03-19;;;
158;2020-03-20;;;
159;2020-03-20;;;
160;2020-03-20;;;
161;2020-03-21;;;
162;2020-03-21;;;
163;2020-03-21;;;
164;2020-03-22;;;
165;2020-03-22;;;
166;2020-03-22;;;
167;2020-03-23;;;
168;2020-03-23;;;
169;2020-03-23;;;
170;2020-03-24;;;
171;2020-03-24;;;
172;2020-03-24;;;
173;2020-03-25;;;
174;2020-03-25;;;
175;2020-03-25;;;
176;2020-03-26;;;
177;2020-03-26;;;
178;2020-03-26;;;
179;2020-03-27;;;
180;2020-03-27;;;
181;2020-03-27;;;
182;2020-03-28;;;
183;2020-03-28;;;
184;2020-03-28;;;
185;2020-03-29;;;
186;2020-03-29;;;
187;2020-03-29;;;
188;2020-03-30;;;
189;2020-03-30;;;
190;2020-03-30;;;
191;2020-03-31;;;
192;2020-03-31;;;
193;2020-03-31;;;
194;2020-04-01;;;
195;2020-04-01;;;
196;2020-04-01;;;
197;2020-04-02;;;
198;2020-04-02;;;
199;2020-04-02;;;
200;2020-04-03;;;
201;2020-04-03;;;
202;2020-04-03;;;
203;2020-04-04;;;
204;2020-04-04;;;
205;2020-04-04;;;
206;2020-04-05;;;
207;2020-04-05;;;
208;2020-04-05;;;
209;2020-04-06;;;
210;2020-04-06;;;
211;2020-04-06;;;
212;2020-04-07;;;
213;2020-04-07;;;
214;2020-04-07;;;
215;2020-04-08;;;
216;2020-04-08;;;
217;2020-04-08;;;
218;2020-04-09;;;
219;2020-04-09;;;
220;2020-04-09;;;
221;2020-04-10;;;
222;2020-04-10;;;
223;2020-04-10;;;
224;2020-04-11;;;
225;2020-04-11;;;
226;2020-04-11;;;
227;2020-04-12;;;
228;2020-04-12;;;
229;2020-04-12;;;
230;2020-04-13;;;
231;2020-04-13;;;
232;2020-04-13;;;
233;2020-04-14;;;
234;2020-04-14;;;
235;2020-04-14;;;
236;2020-04-15;;;
237;2020-04-15;;;
238;2020-04-15;;;
239;2020-04-16;;;
240;2020-04-16;;;
241;2020-04-16;;;
242;2020-04-17;;;
243;2020-04-17;;;
244;2020-04-17;;;
245;2020-04-18;;;
246;2020-04-18;;;
247;2020-04-18;;;
248;2020-04-19;;;
249;2020-04-19;;;
250;2020-04-19;;;
251;2020-04-20;;;
252;2020-04-20;;;
253;2020-04-20;;;
254;2020-04-21;;;
255;2020-04-21;;;
256;2020-04-21;;;
257;2020-04-22;;;
258;2020-04-22;;;
259;2020-04-22;;;
260;2020-04-23;;;
261;2020-04-23;;;
262;2020-04-23;;;
263;2020-04-24;;;
264;2020-04-24;;;
265;2020-04-24;;;
266;2020-04-25;;;
267;2020-04-25;;;
268;2020-04-25;;;
269;2020-04-26;;;
270;2020-04-26;;;
271;2020-04-26;;;
272;2020-04-27;;;
273;2020-04-27;;;
274;2020-04-27;;;
275;2020-04-28;;;
276;2020-04-28;;;
277;2020-04-28;;;
278;2020-04-29;;;
279;2020-04-29;;;
280;2020-04-29;;;
281;2020-04-30;;;
282;2020-04-30;;;
283;2020-04-30;;;
284;2020-05-01;;;
285;2020-05-01;;;
286;2020-05-01;;;
287;2020-05-02;;;
288;2020-05-02;;;
289;2020-05-02;;;
290;2020-05-03;;;
291;2020-05-03;;;
292;2020-05-03;;;
293;2020-05-04;;;
294;2020-05-04;;;
295;2020-05-04;;;
296;2020-05-05;;;
297;2020-05-05;;;
298;2020-05-05;;;
299;2020-05-06;;;
300;2020-05-06;;;
301;2020-05-06;;;
302;2020-05-07;;;
303;2020-05-07;;;
304;2020-05-07;;;
305;2020-05-08;;;
306;2020-05-08;;;
307;2020-05-08;;;
308;2020-05-09;;;
309;2020-05-09;;;
310;2020-05-09;;;
311;2020-05-10;;;
312;2020-05-10;;;
313;2020-05-10;;;
314;2020-05-11;;;
315;2020-05-11;;;
316;2020-05-11;;;
317;2020-05-12;;;
318;2020-05-12;;;
319;2020-05-12;;;
320;2020-05-13;;;
321;2020-05-13;;;
322;2020-05-13;;;
323;2020-05-14;;;
324;2020-05-14;;;
325;2020-05-14;;;
326;2020-05-15;;;
327;2020-05-15;;;
328;2020-05-15;;;
329;2020-05-16;;;
330;2020-05-16;;;
331;2020-05-16;;;
332;2020-05-17;;;
333;2020-05-17;;;
334;2020-05-17;;;
335;2020-05-18;;;
336;2020-05-18;;;
337;2020-05-18;;;
338;2020-05-19;;;
339;2020-05-19;;;
340;2020-05-19;;;
341;2020-05-20;;;
342;2020-05-20;;;
343;2020-05-20;;;
344;2020-05-21;;;
345;2020-05-21;;;
346;2020-05-21;;;
347;2020-05-22;;;
348;2020-05-22;;;
349;2020-05-22;;;
350;2020-05-23;;;
351;2020-05-23;;;
352;2020-05-23;;;
353;2020-05-24;;;
354;2020-05-24;;;
355;2020-05-24;;;
356;2020-05-25;;;
357;2020-05-25;;;
358;2020-05-25;;;
359;2020-05-26;;;
360;2020-05-26;;;
361;2020-05-26;;;
362;2020-05-27;;;
363;2020-05-27;;;
364;2020-05-27;;;
365;2020-05-28;;;
366;2020-05-28;;;
367;2020-05-28;;;
368;2020-05-29;;;
369;2020-05-29;;;
370;2020-05-29;;;
371;2020-05-30;;;
372;2020-05-30;;;
373;2020-05-30;;;
374;2020-05-31;;;
375;2020-05-31;;;
376;2020-05-31;;;
377;2020-06-01;;;
378;2020-06-01;;;
379;2020-06-01;;;
380;2020-06-02;;;
381;2020-06-02;;;
382;2020-06-02;;;
383;2020-06-03;;;
384;2020-06-03;;;
385;2020-06-03;;;
386;2020-06-04;;;
387;2020-06-04;;;
